一类动词,,,,,,,,,,,,,
,,知る,知道，懂得，了解,知ります,しって,しらない,しった,しれ,しろう,しれば,しれる,しられる,しらせる
,,吸う,吸，吸收（水份）,吸います,すって,すわない,すった,すえ,すおう,すえば,すえる,すわれる,すわせる
,,すく,空闲；空旷,すきます,すいて,すかない,すいた,ー,ー,すけば,ー,ー,ー
,,過ごす,度过，生活,過ごします,すごして,すごさない,すごした,すごせ,すごそう,すごせば,すごせる,すごされる,すごさせる
,,進む,前进，进行,進みます,すすんで,すすまない,すすんだ,すすめ,すすもう,すすめば,すすめる,すすまれる,すすませる
,,滑る,打滑，滑倒；失言，走嘴,滑ります,すべって,すべらない,すべった,すべれ,すべろう,すべれば,すべれる,すべられる,すべらせる
,,住む,住，居住,住みます,すんで,すまない,すんだ,すめ,すもう,すめば,すめる,すまれる,すませる
,,済む,完成，结束,済みます,すんで,すまない,すんだ,ー,ー,すめば,ー,ー,ー
,,座る,座，跪坐；居某种地位,座ります,すわって,すわらない,すわった,すわれ,すわろう,すわれば,すわれる,すわられる,すわらせる
,,育つ,（生物）生长，发育；长进,育ちます,そだって,そだたない,そだった,そだて,ー,そだてば,ー,ー,そだたせる
,,そろう,齐全，齐备；成套,そろいます,そろって,そろわない,そろった,そろえ,そろおう,そろえば,そろえる,そろわれる,そろわせる
,,出す,拿出，取出；出发，寄出,出します,だして,ださない,だした,だせ,だそう,だせば,だせる,だされる,ださせる
,,たたく,敲，拍打；攻击，驳斥,たたきます,たたいて,たたかない,たたいた,たたけ,たたこう,たたけば,たたける,たたかける,たたかせる
,,立つ,站，立；出发,立ちます,たって,たたない,たった,たて,たとう,たてば,たてる,たたれる,たたせる
,,建つ,盖，建造,建ちます,たって,たたない,たった,ー,ー,たてば,ー,たたれる,たたせる
,,頼む,恳求，委托；请，雇,頼みます,たのんで,たのまない,たのんだ,たのめ,たのもう,たのめば,たのめる,たのまれる,たのませる
,,違う,不同；不对,違います,ちがって,ちがわない,ちがった,ー,ー,ちがえば,ー,ー,ちがわせる
,,使う,使用；雇佣；花费,使います,つかって,つかわない,つかった,つかえ,つかおう,つかえば,つかえる,つかわれる,つかわせる
,,つく,点灯，开灯；跟随,つきます,ついて,つかない,ついた,つけ,ー,つけば,ー,ー,ー
,,着く,到，到达,着きます,ついて,つかない,ついた,つけ,つこう,つけば,つける,つかれる,つかせる
,,付く,粘着，附着,付きます,ついて,つかない,ついた,つけ,ー,つけば,ー,ー,ー
,,作る,做，生产,作ります,つくって,つくらない,つくった,つくれ,つくろう,つくれば,つくれる,つくられる,つくらせる
,,続く,继续，连续,続きます,つづいて,つづかない,つづいた,つづけ,つづこう,つづけば,つづける,つづかれる,つづかせる
,,包む,包，裹，卷,包みます,つつんで,つつまない,つつんだ,つつめ,つつもう,つつめば,つつある,つつまれる,つつませる
,,積もる,堆积,積もります,つもって,つもらない,つもった,ー,ー,つもれば,ー,ー,ー
,,手伝う,帮忙，帮助,手伝います,てつだって,てつだわない,てつだった,てつだえ,えつだおう,てつだえば,てつだえる,てつだわれる,てつだわせる
,,通る,通过，走过,通ります,とおって,とおらない,とおった,とおれ,とおろう,とおれば,とおれる,とおられる,とおらせる
,,届く,到达，送到,届きます,とどいて,とどかない,とどいた,とどけ,ー,とどけば,ー,ー,ー
,,整う,整齐，端正；完备，齐备,整います,ととのって,ととのわない,ととのった,ー,ー,ととのえば,ー,ー,ー
,,飛ぶ,飞，飞行,飛びます,とんで,とばない,とんだ,とべ,とぼう,とべば,とべる,とばれる,とばせる
,,泊まる,停泊，住宿，过夜,泊まります,とまって,とまらない,とまった,とまれ,とまろう,とまれば,とまれる,とまられる,とまらせる
,,止まる,停，停止,止まります,とまって,とまらない,とまった,とまれ,とまろう,とまれば,とまれる,とまられる,とまらせる
,,撮る,拍照,撮ります,とって,とらない,とった,とれ,とろう,とれば,とれる,とられる,とらせる
,,とる,拿，取；得到；摘掉,とります,とって,とらない,とった,とれ,とろう,とれば,とれる,とられる,とらせる
,,取る,拿，取；得到；摘掉,取ります,とって,とらない,とった,とれ,とろう,とれば,とれる,とられる,とらせる
,,直す,改正，修正,直します,なおして,なおさない,なおした,なおせ,なおそう,なおせば,なおせる,なおされる,なおさせる


一类动词,,,,,,,,,,,,,
,,治る,治好，治愈,治ります,なおって,なおらない,なおった,なおれ,ー,なおれば,ー,ー,なおらせる
,,鳴く,啼叫，鸣叫,鳴きます,ないて,なかない,ないた,なけ,なこう,なけば,なける,なかれる,なかせる
,,泣く,哭，落泪,泣きます,ないて,なかない,ないた,なけ,なこう,なけば,なける,なかれる,なかせる
,,なくす,丢失，丢掉,なくします,なくして,なくさない,なくした,なくせ,なくそう,なくせば,なくせる,なくされる,なくさせる
,,なくなる,丢失，没有；遗失,なくなります,なくなって,なくならない,なくなった,なくなれ,ー,なくなれば,ー,ー,なくならせる
,,なさる,（敬语）做，干，搞,なさいます,なさって,なさらない,なさった,なされ,ー,なされば,ー,ー,ー
,,ならう,学习,ならいます,ならって,ならわない,ならった,ならえ,ならおう,ならえば,ならえる,ならわれる,ならわせる
,,ならぶ,摆放，排列,ならびます,ならんで,ならばない,ならんだ,ならべ,ならぼう,ならべば,ならべる,ならばれる,ならばせる
,,なる,变成，成为；闻名,なります,なって,ならない,なった,なれ,なろう,なれば,なれる,なられる,ならせる
,,鳴る,鸣，响；闻名，著名,鳴ります,なって,ならない,なった,ー,ー,なれば,ー,ー,ならせる
,,似合う,合适,似合います,にあって,にあわない,にあった,ー,ー,にあえば,ー,ー,ー
,,脱ぐ,脱去，摘掉,脱ぎます,ぬいで,ぬがない,ぬいだ,ぬげ,ぬごう,ぬげば,ぬげる,ぬがれる,ぬがせる
,,盗む,偷盗，盗窃,盗みます,ぬすんで,ぬすまない,ぬすっだ,ぬすめ,ぬすもう,ぬすめば,ぬすめる,ぬすまれる,ぬすませる
,,眠る,睡觉,眠ります,ねむって,ねむらない,ねむった,ねむれ,ねむろう,ねむれば,ねむれる,ねむられる,ねむらせる
,,残る,留下，剩余，残留,残ります,のこって,のこらない,のこった,のこれ,のころう,のこれば,のこれる,のこられる,のこさせる
,,延ばす,延长，拉长,延ばします,のばして,のばさない,のばした,のばせ,のばそう,のばせば,のばせる,のばされる,のばさせる
,,登る,登，攀，爬,登ります,のばって,のばらない,のぼった,のぼれ,のぼろう,のぼれば,のぼれる,のぼられる,のぼらせる
,,飲む,喝，吃（药）,飲みます,のんで,のまない,のんだ,のめ,のもう,のめば,のめる,のまれる,のませる
,,乗る,乘，坐,乗ります,のって,のらない,のった,のれ,のろう,のれば,のれる,のられる,のらせる
,,入る,进入，加入,入ります,はいって,はいらない,はいった,はいれ,はいろう,はいれば,はいれる,はいられる,はいらせる
,,図る,谋求，企图,図ります,はかって,はからない,はかった,はかれ,はかろう,はかれば,はかれる,はかられる,はからせる
,,はく,穿（鞋，袜，裤，裙等）,はきます,はいて,はかない,はいた,はけ,はこう,はけば,はける,はかれる,はかせる
,,運ぶ,运送，搬运,運びます,はこんで,はこばない,はこんだ,はこべ,はこばう,はこべば,はこべる,はこばれる,はこばせる
,,始まる,开始，发生,始まります,はじまって,はじまらない,はじまった,ー,ー,はじまれば,ー,ー,はじまらせる
,,走る,跑，行驶,走ります,はしって,はしらない,はしった,はしれ,はしろう,はしれば,はしれる,はしられる,はしらせる
,,働く,工作，劳动,働きます,はたらいて,はたらかない,はたらいた,はたらけ,はたらこう,はたらけば,はたらける,はたらかれる,はたらかせる
,,話す,说，讲，谈话，告诉,話します,はなして,はなさない,はなした,はなせ,はなそう,はなせば,はなせる,はなされる,はなさせる
,,払う,支付（钱款），付钱，还债,払います,はらって,はらわない,はらった,はらえ,はらおう,はらえば,はらえる,はらわれる,はらわせる
,,はる,粘，贴；春天,はります,はって,はらない,はった,はれ,はろう,はれば,はれる,はられる,はらせる
,,弾く,弹；弹奏,弾きます,ひいて,ひかない,ひいた,ひけ,ひこう,ひけば,ひける,ひかれる,ひかせる
,,引く,拉，拽，拖；吸引；查字典,引きます,ひいて,ひかない,ひいた,ひけ,ひこう,ひけば,ひける,ひかれる,ひかせる
,,引っ越す,搬家,引っ越します,ひっこして,ひっこさない,ひっこした,ひっこせ,ひっこそう,ひっこせば,ひっこせる,ひっこされる,ひっこさせる
,,引っ張る,拉，拽，拉紧，拉过来,引っ張ります,ひっぱって,ひっぱらない,ひっぱった,ひっぱれ,ひっぱろう,ひっぱれば,ひっぱれる,ひっぱられる,ひっぱらせる
,,冷やす,凉快；冷气,冷やします,ひやして,ひやさない,ひやした,ひやせ,ひやそう,ひやせば,ひやせる,はやされる,ひやさせる
,,開く,打开；举办,開きます,ひらいて,ひらかない,ひらいた,ひらけ,ひらこう,ひらけば,ひらける,ひらかれる,ひらかせる
,,拾う,拾，捡；挑出,拾います,ひろって,ひろわない,ひろった,ひろえ,ひろおう,ひろえば,ひろえる,ひろわれる,ひろわせる
,,広がる,放开，展开；扩大，扩展,広がります,ひろがって,ひろがらない,ひろがった,ひろがれ,ひろがろう,ひろがれば,ひろがれる,ひろがられる,ひろがらせる
,,吹く,刮；吹,吹きます,ういて,ふかない,ふいた,ふけ,ふこう,ふけば,ふける,ふかれる,ふかせる
,,防ぐ,防守，防卫，预防,防ぎます,ふせいで,ふせがない,ふせいだ,ふせげ,ふせごう,ふせげば,ふせげる,ふせがれる,ふせがせる
